id,titulo,artista,ano_creacion,estilo,tipo_obra,ubicacion_actual,precio_estimado_usd,estado
1,Mona Lisa,Leonardo da Vinci,1503,Renacimiento,Pintura,"Museo del Louvre, París",860000000,Disponible
2,La noche estrellada,Vincent van Gogh,1889,Postimpresionismo,Pintura,"MoMA, Nueva York",150000000,Disponible
3,El grito,Edvard Munch,1893,Expresionismo,Pintura,"Museo Nacional de Noruega, Oslo",120000000,Disponible
4,La joven de la perla,Johannes Vermeer,1665,Barroco,Pintura,"Mauritshuis, La Haya",75000000,Disponible
5,Guernica,Pablo Picasso,1937,Cubismo,Pintura,"Museo Reina Sofía, Madrid",200000000,Disponible
6,Las meninas,Diego Velázquez,1656,Barroco,Pintura,"Museo del Prado, Madrid",150000000,Disponible
7,La creación de Adán,Miguel Ángel,1512,Renacimiento,Pintura (Fresco),"Capilla Sixtina, Ciudad del Vaticano",300000000,Disponible
8,El nacimiento de Venus,Sandro Botticelli,1486,Renacimiento,Pintura,"Galería Uffizi, Florencia",150000000,Disponible
9,La última cena,Leonardo da Vinci,1498,Renacimiento,Pintura (Fresco),"Santa Maria delle Grazie, Milán",400000000,Disponible
10,La persistencia de la memoria,Salvador Dalí,1931,Surrealismo,Pintura,"MoMA, Nueva York",100000000,Disponible
11,David,Miguel Ángel,1504,Renacimiento,Escultura,"Galería de la Academia, Florencia",200000000,Disponible
12,El pensador,Auguste Rodin,1904,Impresionismo / Escultura Moderna,Escultura,"Museo Rodin, París",30000000,Disponible
13,La ronda de noche,Rembrandt,1642,Barroco,Pintura,"Rijksmuseum, Ámsterdam",150000000,Disponible
14,"Impresión, sol naciente",Claude Monet,1872,Impresionismo,Pintura,"Museo Marmottan Monet, París",90000000,Disponible
15,La libertad guiando al pueblo,Eugène Delacroix,1830,Romanticismo,Pintura,"Museo del Louvre, París",120000000,Disponible
16,El beso,Gustav Klimt,1908,Simbolismo / Art Nouveau,Pintura,"Galería Belvedere, Viena",180000000,Disponible
17,La gran ola de Kanagawa,Katsushika Hokusai,1831,Ukiyo-e,Grabado,"Museo Metropolitano de Arte, Nueva York",5000000,Disponible
18,American Gothic,Grant Wood,1930,Regionalismo,Pintura,Instituto de Arte de Chicago,80000000,Disponible
19,Noche estrellada sobre el Ródano,Vincent van Gogh,1888,Postimpresionismo,Pintura,"Museo de Orsay, París",95000000,Disponible
20,Los girasoles,Vincent van Gogh,1888,Postimpresionismo,Pintura,"National Gallery, Londres",100000000,Disponible
21,La Venus de Milo,Alejandros de Antioquía,-100,Escultura Griega Helenística,Escultura,"Museo del Louvre, París",250000000,Disponible
22,Victoria de Samotracia,Desconocido,-190,Escultura Griega Helenística,Escultura,"Museo del Louvre, París",200000000,Disponible
23,El jardín de las delicias,El Bosco,1505,Renacimiento Nórdico,Pintura,"Museo del Prado, Madrid",180000000,Disponible
24,La balsa de la Medusa,Théodore Géricault,1819,Romanticismo,Pintura,"Museo del Louvre, París",110000000,Disponible
25,El caminante sobre el mar de nubes,Caspar David Friedrich,1818,Romanticismo,Pintura,Kunsthalle de Hamburgo,70000000,Disponible
26,Nighthawks,Edward Hopper,1942,Realismo Americano,Pintura,Instituto de Arte de Chicago,90000000,Disponible
27,Las señoritas de Avignon,Pablo Picasso,1907,Cubismo,Pintura,"MoMA, Nueva York",160000000,Disponible
28,La escuela de Atenas,Rafael Sanzio,1511,Renacimiento,Pintura (Fresco),"Museos Vaticanos, Ciudad del Vaticano",250000000,Disponible
29,El hijo del hombre,René Magritte,1964,Surrealismo,Pintura,Colección Privada,40000000,Disponible
30,Nenúfares,Claude Monet,1916,Impresionismo,Pintura,"Museo de la Orangerie, París",80000000,Disponible
31,Saturno devorando a su hijo,Francisco de Goya,1823,Romanticismo,Pintura,"Museo del Prado, Madrid",90000000,Disponible
32,El 3 de mayo en Madrid,Francisco de Goya,1814,Romanticismo,Pintura,"Museo del Prado, Madrid",100000000,Disponible
33,La metamorfosis de Narciso,Salvador Dalí,1937,Surrealismo,Pintura,"Tate Modern, Londres",45000000,Disponible
34,"Composición en rojo, azul y amarillo",Piet Mondrian,1930,Neoplasticismo,Pintura,Kunsthaus Zürich,50000000,Disponible
35,El coloso,Francisco de Goya,1812,Romanticismo,Pintura,"Museo del Prado, Madrid",60000000,Disponible
36,La bacanal de los andrios,Tiziano,1526,Renacimiento,Pintura,"Museo del Prado, Madrid",75000000,Disponible
37,Un domingo en la Grande Jatte,Georges Seurat,1886,Puntillismo,Pintura,Instituto de Arte de Chicago,130000000,Disponible
38,Bailarina basculando,Edgar Degas,1879,Impresionismo,Pintura,"Museo de Orsay, París",40000000,Disponible
39,Almuerzo sobre la hierba,Édouard Manet,1863,Impresionismo,Pintura,"Museo de Orsay, París",85000000,Disponible
40,Olympia,Édouard Manet,1863,Impresionismo,Pintura,"Museo de Orsay, París",80000000,Disponible
41,El bar del Folies-Bergère,Édouard Manet,1882,Impresionismo,Pintura,"Courtauld Gallery, Londres",70000000,Disponible
42,La clase de danza,Edgar Degas,1874,Impresionismo,Pintura,"Museo de Orsay, París",50000000,Disponible
43,Terraza de café por la noche,Vincent van Gogh,1888,Postimpresionismo,Pintura,"Museo Kröller-Müller, Otterlo",85000000,Disponible
44,Dormitorio en Arlés,Vincent van Gogh,1888,Postimpresionismo,Pintura,"Museo van Gogh, Ámsterdam",90000000,Disponible
45,Campo de trigo con cuervos,Vincent van Gogh,1890,Postimpresionismo,Pintura,"Museo van Gogh, Ámsterdam",95000000,Disponible
46,Autorretrato con oreja vendada,Vincent van Gogh,1889,Postimpresionismo,Pintura,"Courtauld Gallery, Londres",80000000,Disponible
47,Los comedores de patatas,Vincent van Gogh,1885,Postimpresionismo,Pintura,"Museo van Gogh, Ámsterdam",60000000,Disponible
48,La catedral de Rouen,Claude Monet,1894,Impresionismo,Pintura,"Museo de Orsay, París",65000000,Disponible
49,El puente de Argenteuil,Claude Monet,1874,Impresionismo,Pintura,"Museo de Orsay, París",55000000,Disponible
50,La urraca,Claude Monet,1869,Impresionismo,Pintura,"Museo de Orsay, París",45000000,Disponible
51,Campbell's Soup Cans,Andy Warhol,1962,Pop Art,Pintura,"MoMA, Nueva York",120000000,Disponible
52,Marilyn Diptych,Andy Warhol,1962,Pop Art,Pintura,"Tate Modern, Londres",130000000,Disponible
53,Whaam!,Roy Lichtenstein,1963,Pop Art,Pintura,"Tate Modern, Londres",60000000,Disponible
54,Girl with Ball,Roy Lichtenstein,1961,Pop Art,Pintura,"MoMA, Nueva York",40000000,Disponible
55,Untitled (1982),Jean-Michel Basquiat,1982,Neoexpresionismo,Pintura,Colección Privada,110000000,Disponible
56,Boy and Dog in a Johnnypump,Jean-Michel Basquiat,1982,Neoexpresionismo,Pintura,Colección Privada,85000000,Disponible
57,La traición de las imágenes,René Magritte,1929,Surrealismo,Pintura,"LACMA, Los Ángeles",60000000,Disponible
58,Los amantes,René Magritte,1928,Surrealismo,Pintura,"MoMA, Nueva York",45000000,Disponible
59,El nacimiento de las estrellas,Joan Miró,1925,Surrealismo,Pintura,"Fundación Joan Miró, Barcelona",35000000,Disponible
